seat,ons_id,ons_region_id,constituency_name,county_name,region_name,country_name,constituency_type,declaration_time,mp_firstname,mp_surname,mp_gender,result,first_party,second_party,electorate,valid_votes,invalid_votes,majority,con,lab,ld,brexit,green,snp,pc,dup,sf,sdlp,uup,alliance,other,other_winner,con_share,lab_share,ld_share,brexit_share,green_share,snp_share,pc_share,dup_share,sf_share,sdlp_share,uup_share,alliance_share,other_share,swing_needed,new_con_share,new_lab_share,new_ld_share,new_brexit_share,new_green_share,new_snp_share,new_pc_share,new_dup_share,new_sf_share,new_sdlp_share,new_uup_share,new_alliance_share,new_other_share,new_first_party,changed,new_swing_needed
69,E14000582,E12000004,Boston and Skegness,Lincolnshire,East Midlands,England,County,2019-12-13 04:47:00,Matt,Warman,Male,Con hold,CON,Lab,69381,41696,175,25621,31963,6342,1963,0,0,0,0,0,0,0,0,0,1428,0,0.7665723330775134,0.15210092095165004,0.047078856485034536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03424788948580199,0.6144714121258633,0.7873879677535106,0.17806195620813683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.034550076038355436,CON,FALSE,0.6093260115453738
70,E14000583,E12000004,Bosworth,Leicestershire,East Midlands,England,County,2019-12-13 02:52:00,Luke,Evans,Male,Con hold,CON,Lab,81542,56432,234,26278,36056,9778,9096,0,1502,0,0,0,0,0,0,0,0,0,0.6389282676495606,0.1732704848313014,0.1611851431811738,0.0,0.026616104337964276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4656577828182592,0.7103061607781671,0.26217880902876256,0.0,0.0,0.02751503019306977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CON,FALSE,0.44812735174940455
71,E14000584,E12000009,Bournemouth East,Dorset,South West,England,Borough,2019-12-13 05:03:00,Tobias,Ellwood,Male,Con hold,CON,Lab,74125,49274,188,8806,24926,16120,5418,0,2049,0,0,0,0,0,0,0,761,0,0.5058651621544831,0.3271502212119982,0.1099565693875066,0.0,0.04158379672849779,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015444250517514307,0.17871494094248486,0.5495251635498098,0.3921875775202452,0.0,0.0,0.04250199058628546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01578526834366197,CON,FALSE,0.15733758602956466
72,E14000585,E12000009,Bournemouth West,Dorset,South West,England,Borough,2019-12-13 04:56:00,Conor,Burns,Male,Con hold,CON,Lab,74205,45977,211,10150,24550,14400,4931,0,2096,0,0,0,0,0,0,0,0,0,0.5339626334906584,0.31320007830001956,0.1072492768123192,0.0,0.04558801139700285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22076255519063887,0.5777996230284884,0.3756180471305176,0.0,0.0,0.0465823298409917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CON,FALSE,0.2021815758979708
73,E14000586,E12000008,Bracknell,Berkshire,South East,England,County,2019-12-13 01:53:00,James,Sunderland,Male,Con hold,CON,Lab,78978,54350,212,19829,31894,12065,7749,0,2089,0,0,0,0,0,0,0,553,0,0.5868261269549218,0.22198712051517938,0.14257589696412143,0.0,0.0384360625574977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010174793008279668,0.3648390064397424,0.6462177917731714,0.30375034028616194,0.0,0.0,0.039559641229390444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010472226711274672,CON,FALSE,0.34246745148700947
74,E14000587,E12000003,Bradford East,West Yorkshire,Yorkshire and The Humber,England,Borough,2019-12-13 04:47:00,Imran,Hussain,Male,Lab hold,LAB,Con,73206,44184,91,18144,9681,27825,3316,2700,662,0,0,0,0,0,0,0,0,0,0.219106463878327,0.6297528517110266,0.0750497917798298,0.06110809342748506,0.014982799203331523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4106463878326996,0.24489106029511917,0.6778999863278403,0.0,0.062006000629985396,0.01520295274705567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LAB,FALSE,0.4330089260327211
75,E14000588,E12000003,Bradford South,West Yorkshire,Yorkshire and The Humber,England,Borough,2019-12-13 05:01:00,Judith,Cummins,Female,Lab hold,LAB,Con,69046,39741,87,2346,16044,18390,1505,2819,983,0,0,0,0,0,0,0,0,0,0.4037140484638031,0.4627462821770967,0.03787020960720666,0.07093429958984424,0.02473516016204927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05903223371329358,0.4179519931600889,0.485675846216399,0.0,0.071455318463356,0.024916842160155727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LAB,FALSE,0.06772385305631007
76,E14000589,E12000003,Bradford West,West Yorkshire,Yorkshire and The Humber,England,Borough,2019-12-13 04:27:00,Naz,Shah,Female,Lab hold,LAB,Con,70694,44261,134,27019,6717,33736,1349,1556,813,0,0,0,0,0,0,0,90,0,0.15175888479699962,0.7622060052868214,0.03047829917986489,0.03515510268633786,0.018368315221074988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0020333928289012902,0.6104471204898217,0.16177921554649252,0.7823424082459148,0.0,0.03535858209801314,0.018474631905967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002045162203612593,LAB,FALSE,0.6205631926994223
77,E14000590,E12000006,Braintree,Essex,East,England,County,2019-12-13 03:12:00,James,Cleverly,Male,Con hold,CON,Lab,75208,50499,258,24673,34112,9439,4779,0,0,0,0,0,0,0,0,0,2169,0,0.6754985247232619,0.1869145923681657,0.09463553733737302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04295134557119943,0.4885839323550962,0.7164560246509418,0.2397796917237045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04376428362535408,CON,FALSE,0.4766763329272373
78,W07000068,W92000004,Brecon and Radnorshire,Powys,Wales,Wales,County,2019-12-13 03:40:00,Fay,Jones,Female,Con hold,CON,LD,55490,41319,110,7131,21958,3944,14827,0,0,0,0,0,0,0,0,0,590,0,0.5314262203828747,0.09545245528691401,0.3588421791427672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014279145187444033,0.17258404124010746,0.6869420685516098,0.2975366809762502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015521250472143195,CON,FALSE,0.3894053875753596
